#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
45.1%	24800	49.60000000001465	-457736.2755947774	4435.031633737497	-453301.24396103993	308.24137490817543	19.34629671960829	0.8934143925330568	92.8	0:56
45.2%	24850	49.700000000014775	-457754.41551706375	4418.939660581294	-453335.47585648246	307.1229585494463	19.24124237233041	0.8982923034309097	93	0:56
45.3%	24900	49.8000000000149	-457784.2301781691	4518.556329814717	-453265.6738483544	314.04646702111114	19.181499346587028	0.9010901399941137	93.1	0:55
45.4%	24950	49.90000000001502	-457922.7956476575	4676.210604105145	-453246.58504355233	325.00367641230537	19.108103824764562	0.9045512882922633	93.3	0:55
45.5%	25000	50.00000000001514	-457755.34940737044	4606.718631067313	-453148.6307763031	320.17387967504703	19.171598978353078	0.9015554702051198	93.5	0:55
45.5%	25050	50.100000000015264	-457786.3751775113	4597.889045035467	-453188.48613247584	319.56021015404	19.085192285761313	0.9056371910074069	93.6	0:55
45.6%	25100	50.200000000015386	-457836.0674391939	4623.7105055600405	-453212.35693363386	321.35484053134905	19.216457576936254	0.8994508931894822	93.8	0:55
45.7%	25150	50.30000000001551	-457781.72074862366	4401.684127927991	-453380.03662069567	305.92367305408106	19.32075410135751	0.894595513241312	94	0:54
45.8%	25200	50.40000000001563	-457889.16410799866	4510.976748016197	-453378.18735998246	313.5196746760392	19.32075410135751	0.894595513241312	94.1	0:54
45.9%	25250	50.50000000001575	-457833.04008456116	4435.585493071005	-453397.45459149015	308.2798689656174	19.32075410135751	0.894595513241312	94.2	0:54
46.0%	25300	50.600000000015875	-457871.6025845431	4542.306027326733	-453329.2965572164	315.69710675027756	19.12880621904938	0.9035723261340068	94.4	0:54
46.1%	25350	50.700000000016	-457796.37699801766	4432.2095602424815	-453364.1674377752	308.0452365520072	19.127273594476286	0.9036447273125524	94.6	0:54
46.2%	25400	50.80000000001612	-457738.4707579262	4387.817806527019	-453350.65295139916	304.95994284276975	19.23982948314096	0.8983582701010198	94.7	0:53
46.3%	25450	50.90000000001624	-457834.2193273396	4589.52532274276	-453244.69400459685	318.9789188642006	19.202591206384213	0.9001003950845275	94.9	0:53
46.4%	25500	51.000000000016364	-457816.8227314448	4645.632395775057	-453171.19033566973	322.87844490184784	19.269104503370006	0.8969934191020777	95.1	0:53
46.5%	25550	51.100000000016486	-457740.37296013755	4502.726441318169	-453237.6465188194	312.9462659407624	19.232931462944855	0.8986804723353714	95.2	0:53
46.5%	25600	51.20000000001661	-457608.3133326378	4435.343965563923	-453172.96936707385	308.263082440287	19.197642133451335	0.9003324372525823	95.4	0:53
46.6%	25650	51.30000000001673	-457814.12581431435	4556.225807539537	-453257.9000067748	316.6645524294865	19.378008062192574	0.8919523552699685	95.5	0:53
46.7%	25700	51.40000000001685	-457954.84257113346	4562.988911060791	-453391.85366007267	317.1345983051866	19.29651198646218	0.8957193892678219	95.7	0:52
46.8%	25750	51.500000000016975	-457793.44240206125	4299.29632935673	-453494.1460727045	298.8075669218616	19.42595017499902	0.8897510688438682	95.9	0:52
46.9%	25800	51.6000000000171	-457856.6815161022	4475.732366646174	-453380.94914945605	311.07013711498945	19.415017783064712	0.8902520782952762	96	0:52
47.0%	25850	51.70000000001722	-457845.52433844254	4466.809459676966	-453378.7148787656	310.4499816483533	19.456900833026886	0.8883357159416748	96.2	0:52
47.1%	25900	51.80000000001734	-457749.5887848071	4330.91451516049	-453418.67426964664	301.0050784322902	19.494287365896902	0.8866320479993541	96.4	0:52
47.2%	25950	51.900000000017464	-457914.92791567947	4508.555274296552	-453406.3726413829	313.35137860731004	19.336278423530388	0.8938772783949898	96.5	0:52
47.3%	26000	52.000000000017586	-457880.5069139743	4395.44626545161	-453485.0606485227	305.4901322216818	19.257418115909108	0.8975377606426939	96.7	0:51
47.4%	26050	52.10000000001771	-458006.45095182455	4561.403764993418	-453445.0471868311	317.02442826727287	19.15705427836573	0.9022399623846349	96.9	0:51
47.5%	26100	52.20000000001783	-457916.4805773209	4470.506585591298	-453445.9739917296	310.7069374649417	19.1467023245274	0.9027277720493696	97	0:51
47.5%	26150	52.30000000001795	-457926.4796007584	4486.926542738453	-453439.55305801996	311.84814920477925	19.1467023245274	0.9027277720493696	97.2	0:51
