#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
60.0%	3300	6.599999999999495	-458204.368389727	4394.356268866919	-453810.0121208601	305.41437581819764	18.854226139061254	0.9167313367322159	404	0:00
60.9%	3350	6.699999999999484	-458114.4126176696	4377.956793132238	-453736.4558245374	304.2745875673591	18.84025760114366	0.9174110193941244	405	0:00
61.8%	3400	6.799999999999473	-458143.7712537865	4281.262311413884	-453862.50894237263	297.55417552696485	18.842364550725733	0.917308434670286	403	0:00
62.7%	3450	6.899999999999462	-458005.27067462076	4189.542887127493	-453815.72778749326	291.179537467394	18.845366185323456	0.9171623284759454	404	0:00
63.6%	3500	6.999999999999451	-458159.3560058923	4500.636240941007	-453658.71976495127	312.8009938680247	18.891761691758507	0.9149099069491932	401	0:00
64.5%	3550	7.09999999999944	-458064.1135091581	4452.775673119351	-453611.3378360387	309.4746123565583	18.903290210110015	0.9143519323566749	396	0:00
65.5%	3600	7.199999999999429	-457914.984208391	4400.95354308188	-453514.0306653091	305.87289630747586	18.835468856033373	0.9176442627270527	394	0:00
66.4%	3650	7.299999999999418	-458061.3254347194	4514.9750155787915	-453546.3504191406	313.7975602905114	18.74563228472166	0.9220419812459661	394	0:00
67.3%	3700	7.399999999999407	-458076.3259427346	4505.601286283694	-453570.7246564509	313.1460719935716	18.750338451371913	0.921810556984824	395	0:00
68.2%	3750	7.499999999999396	-457880.0427086417	4429.985337819904	-453450.05737082177	307.89064974536046	18.92024698773243	0.9135324682981111	396	0:00
69.1%	3800	7.599999999999385	-457753.9929039542	4402.763688119128	-453351.22921583505	305.99870411250265	18.92024698773243	0.9135324682981111	397	0:00
70.0%	3850	7.699999999999374	-457886.18966859544	4495.714662036393	-453390.47500655905	312.458936725357	19.03837589370618	0.9078642016532008	398	0:00
70.9%	3900	7.799999999999363	-458034.3317584392	4625.973376360722	-453408.35838207847	321.51211345845417	19.03837589370618	0.9078642016532008	398	0:00
71.8%	3950	7.899999999999352	-457946.6766323896	4512.845489474013	-453433.8311429156	313.64955502050475	19.125563555788805	0.9037255232294379	399	0:00
72.7%	4000	7.999999999999341	-457795.5537847373	4355.706444974989	-453439.8473397623	302.7281548754244	19.1746422385877	0.901412381855536	398	0:00
73.6%	4050	8.099999999999374	-457845.8809759437	4503.514896759763	-453342.36607918394	313.0010647808703	18.978298136411745	0.9107381392829708	398	0:00
74.5%	4100	8.199999999999408	-458035.4979514624	4639.273755192524	-453396.2241962699	322.43650980925526	19.10547819202911	0.9046755992071518	399	0:00
75.5%	4150	8.299999999999441	-457852.9119234266	4397.129921736894	-453455.7820016897	305.60714886803464	19.061289129710197	0.9067728742738973	398	0:00
76.4%	4200	8.399999999999475	-457891.6903888663	4458.867782902904	-453432.8226059634	309.8980231573943	19.14582532439989	0.9027691227019417	399	0:00
